date,precipitation_in,station_id
2017-08-20,0.044976672740304105,USC00419275
2017-08-21,0.4812286595256027,USC00419275
2017-08-22,0.0,USC00419275
2017-08-23,0.49505567722009464,USC00419275
2017-08-24,0.0,USC00419275
2017-08-25,0.0,USC00419275
2017-08-26,0.0,USC00419275
2017-08-27,0.0,USC00419275
2017-08-28,2.5645818980726425,USC00419275
2017-08-29,0.0,USC00419275
2017-08-30,0.5208058332359761,USC00419275
2017-08-31,0.0,USC00419275
2017-09-01,0.0,USC00419275
2017-09-02,0.0,USC00419275
2017-09-03,0.15598837364501691,USC00419275
2017-09-04,0.0,USC00419275
2017-09-05,0.0,USC00419275
2017-09-06,0.0,USC00419275
2017-09-07,0.0,USC00419275
2017-09-08,0.27660547757895537,USC00419275
2017-09-09,0.0,USC00419275
2017-09-10,0.0,USC00419275
